"","sample_id","Heidi","Fritzy","ThorA","Cami","Urza","Charlie","Vito","location","ReadsRaw","ReadsFiltered","ReadsLengthfiltered","FamilyKmers","KmerCoverage","KmerDupRate","ExtractLVL","ReadsExtracted","Order","Family","Species","Reference","ReadsMapped","ProportionMapped","ReadsDeduped","DuplicationRate","CoveredBP","ReadsBedfiltered","PostBedCoveredBP","FamPercentage","Ancientness","ReadsDeam(1term)","ReadsDeam(3term)","Deam5(95ci)","Deam3(95ci)","Deam5Cond(95ci)","Deam3Cond(95ci)"
"1","sample_1",0.992819126467855,0.00268039026482256,0.000893987931162929,0.000288229164357138,8.32570144034635e-05,0.000287699730004869,0.00262245949236677,"Dog Office (Container)",247471,222964,222800,16824,0.1329,637,"f",119613,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",116914,0.9774,103504,1.1295,16727,NA,NA,99.58,NA,192,557,"0.5 (0.4,0.6)","0.3 (0.2,0.4)","0.0 (0.0,19.5)","0.0 (0.0,12.8)"
"2","sample_10",0.672131147540984,0.0208333333333333,0,0.00110803324099723,0.0281030444964871,0.000606428138265616,0.288095238095238,"Dog Office (Container)",268548,251742,251031,14170,0.112,493,"f",91575,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",88674,0.9683,3682,24.0831,16678,NA,NA,95.19,NA,15,37,"1.5 (0.8,2.7)","0.5 (0.1,1.2)","0.0 (0.0,97.5)","0.0 (0.0,60.2)"
"3","sample_11",0.448,0.145631067961165,0,0,0.0661764705882353,0.0018450184501845,0.395833333333333,"Dog Office (Container)",344392,299300,298482,12971,0.1025,479,"f",71419,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",67485,0.9449,1333,50.6264,15793,NA,NA,70.97,NA,2,9,"0.7 (0.1,2.6)","0.0 (0.0,1.2)","N/A (N/A,N/A)","0.0 (0.0,97.5)"
"4","sample_12",0.617647058823529,0.216216216216216,0,0.00149700598802395,0.0189274447949527,0,0.15916955017301,"Dog Office (Container)",415102,383257,382172,15907,0.1257,812,"f",150119,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",145316,0.968,2925,49.6806,16688,NA,NA,95.68,NA,8,24,"0.2 (0.0,1.0)","1.0 (0.4,2.0)","0.0 (0.0,97.5)","N/A (N/A,N/A)"
"5","sample_13",0.216666666666667,0.583333333333333,0,0.00425531914893617,0.0857142857142857,0.0036231884057971,0.17741935483871,"Dog Office (Container)",176577,161481,160930,9541,0.07539,83.6,"f",10199,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",9689,0.9499,538,18.0092,15372,NA,NA,61.98,NA,0,4,"0.0 (0.0,3.1)","0.0 (0.0,2.9)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"6","sample_14",0.394308943089431,0.378378378378378,0.00276243093922652,0.0025,0.0150602409638554,0.000857632933104631,0.103678929765886,"Dog Office (Container)",316559,285101,284389,14503,0.1146,547,"f",92402,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",89813,0.9719,2813,31.9278,16645,NA,NA,85.91,NA,10,24,"1.1 (0.4,2.3)","0.7 (0.2,1.7)","N/A (N/A,N/A)","0.0 (0.0,97.5)"
"7","sample_15",0.220665499124343,0.611909650924025,0.0023094688221709,0.0038109756097561,0.0173661360347323,0,0.173314993122421,"Dog Office (Container)",299735,276244,275694,13788,0.1089,305,"f",51361,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",49601,0.9657,6162,8.0494,16727,NA,NA,46.03,NA,12,37,"0.5 (0.2,1.1)","0.3 (0.1,0.8)","0.0 (0.0,84.2)","0.0 (0.0,84.2)"
"8","sample_16",0.170731707317073,0.35,0,0,0.0454545454545455,0,0.179487179487179,"Dog Office (Container)",166128,140947,139952,7935,0.0627,97.3,"f",9748,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",9206,0.9443,349,26.3782,13017,NA,NA,24.73,NA,1,2,"0.0 (0.0,5.3)","1.2 (0.0,6.3)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"9","sample_17",0.219211822660099,0.666666666666667,0,0.00220143093010457,0.0089086859688196,0,0.161662817551963,"Dog Office (Container)",314395,285584,284740,11302,0.0893,138,"f",23140,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",22017,0.9514,4465,4.931,16545,NA,NA,14.28,NA,6,29,"0.6 (0.2,1.4)","0.0 (0.0,0.3)","N/A (N/A,N/A)","0.0 (0.0,97.5)"
"10","sample_18",0.272727272727273,NA,NA,0,NA,0,NA,"Dog Office (Container)",287194,264425,263560,5349,0.04226,275,"f",18319,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",18051,0.9853,85,212.3647,8548,NA,NA,14.23,NA,0,0,"0.0 (0.0,24.7)","0.0 (0.0,16.8)","N/A (N/A,N/A)","N/A (N/A,N/A)"
